Offender Number,Race,Sex,Age,Supervising Unit,Supervision Type,Cohort Fiscal Year,Report Fiscal Year,Supervision Start Date,Supervision End Date,Months Supervised,Supervision End Reason,Supervision Offense Class,Supervision Offense Type,Supervision Offense Subtype,Reincarcerated,Reincarcerated Reason,Survival Time (Days),Survival Time (Months),Reincarcerated Offense Code,Reincarcerated Offense Class,Reincarcerated Offense Type,Reincarcerated Offense Subtype,Risk Ranking
20655350,White,Male,35,Newton Correctional Facility,Prison,2018,2021,12/07/2007,05/29/2018,125,Discharged - Expiration of Sentence,B Felony,Violent,Sex,false,,,,,,,,
18876932,Black,Male,30,Mount Pleasant Correctional Facility,Prison,2017,2020,11/08/2012,12/20/2016,49,Released to Special Sentence,D Felony,Other,Other Criminal,false,,,,,,,,
2424146,White,Male,40,Iowa Medical & Classification Center,Prison,2016,2019,04/21/2015,12/24/2015,8,Parole Granted,Aggravated Misdemeanor,Public Order,Other Public Order,false,,,,,,,,
19088303,Black,Male,29,Fort Dodge Correctional Facility,Work Release,2016,2019,07/20/2015,10/16/2015,2,Parole Granted,C Felony,Drug,Trafficking,false,,,,,,,,
20280797,White,Male,38,Districts/Compact Regions,Prison,2016,2019,06/08/2015,05/31/2016,11,Paroled w/Immediate Discharge,Aggravated Misdemeanor,Property,Burglary,false,,,,,,,,
20253299,Black,Male,32,Iowa Medical & Classification Center,Prison,2018,2021,06/06/2018,06/16/2018,0,Discharged - Expiration of Sentence,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,
20331455,White,Female,26,Iowa Correctional Institution for Women,Prison,2018,2021,12/03/2012,11/16/2017,59,Released to Special Sentence,C Felony,Violent,Sex,false,,,,,,,,
620843,Black,Male,61,Fort Dodge Correctional Facility,Prison,2018,2021,02/09/2006,11/08/2017,140,Released to Special Sentence,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,
18152411,White,Male,51,Districts/Compact Regions,Prison,2016,2019,02/25/2014,09/22/2015,18,Paroled w/Immediate Discharge,C Felony,Drug,Trafficking,false,,,,,,,,
103469,Black,Male,63,Iowa Medical & Classification Center,Prison,2018,2021,10/18/1972,07/07/2017,536,Parole Granted,A Felony,Violent,Murder/Manslaughter,false,,,,,,,,High
20712368,White,Male,39,Newton Correctional Facility,Prison,2019,2022,05/19/2014,07/08/2018,49,Released to Special Sentence,C Felony,Violent,Sex,false,,,,,,,,
153671,White,Male,53,North Central Correctional Facility,Prison,2018,2021,03/08/2016,11/20/2017,20,Parole Granted,B Felony,Drug,Trafficking,false,,,,,,,,High
18035084,Hispanic,Male,27,Iowa Medical & Classification Center,Prison,2018,2021,07/06/2017,03/15/2018,8,Paroled to Detainer - INS,D Felony,Public Order,OWI,false,,,,,,,,Low
3244967,White,Male,46,Newton Correctional Facility,Prison,2017,2020,04/30/2015,08/22/2016,15,Parole Granted,B Felony,Drug,Trafficking,false,,,,,,,,Low
3352100,Black,Male,42,Fort Dodge Correctional Facility,Prison,2017,2020,04/24/1998,11/30/2016,223,Parole Granted,B Felony,Drug,Trafficking,false,,,,,,,,Low
18083336,White,Female,44,Iowa Correctional Institution for Women,Prison,2018,2021,11/29/2016,09/08/2017,9,Parole Granted,C Felony,Drug,Trafficking,false,,,,,,,,Moderate
19456109,Black,Male,22,Anamosa State Penitentiary,Prison,2017,2020,07/08/2016,01/17/2017,6,Parole Granted,C Felony,Drug,Trafficking,false,,,,,,,,Low
18122423,White,Male,37,Iowa State Penitentiary,Work Release,2018,2021,04/05/2017,10/11/2017,6,Parole Granted,D Felony,Property,Theft,false,,,,,,,,High
18327254,White,Male,25,Fort Dodge Correctional Facility,Prison,2018,2021,10/24/2016,10/23/2017,11,Discharged - Expiration of Sentence,D Felony,Public Order,Weapons,false,,,,,,,,Low
614144,White,Male,59,Districts/Compact Regions,Work Release,2019,2022,03/22/2018,07/19/2018,3,Parole Granted,C Felony,Drug,Trafficking,false,,,,,,,,Low
18327266,Asian or Pacific Islander,Male,29,Clarinda Correctional Facility,Prison,2018,2021,09/22/2014,08/07/2017,34,Parole Granted,C Felony,Drug,Trafficking,false,,,,,,,,Low
20712485,White,Female,40,Districts/Compact Regions,Work Release,2019,2022,10/12/2018,11/20/2018,1,Parole Granted,C Felony,Violent,Sex,false,,,,,,,,Low
624476,White,Male,53,Iowa Medical & Classification Center,Prison,2019,2022,09/08/2017,10/18/2018,13,Parole Granted,D Felony,Violent,Assault,false,,,,,,,,Low
19748870,Hispanic,Male,27,Mount Pleasant Correctional Facility,Work Release,2017,2020,07/07/2016,07/15/2016,0,Released to Special Sentence,C Felony,Violent,Sex,false,,,,,,,,
624527,White,Male,53,Fort Dodge Correctional Facility,Prison,2019,2022,10/04/2018,05/08/2019,7,Parole Granted,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,Moderate
3313352,Hispanic,Male,39,Newton Correctional Facility,Prison,2019,2022,07/31/2018,08/14/2018,0,Discharged - Expiration of Sentence,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
154115,White,Male,53,Iowa Medical & Classification Center,Prison,2018,2021,08/31/2015,03/20/2018,30,Parole Granted,B Felony,Drug,Trafficking,true,Tech,203,6.8,124.401(1)(b)(7),B Felony,Drug,Trafficking,High
20400182,White,Male,49,Mount Pleasant Correctional Facility,Prison,2017,2020,05/01/2003,09/15/2016,160,Discharged - Expiration of Sentence,C Felony,Violent,Sex,false,,,,,,,,
183686,White,Male,59,Clarinda Correctional Facility,Prison,2018,2021,09/14/2015,11/06/2017,25,Discharged - Expiration of Sentence,D Felony,Drug,Trafficking,false,,,,,,,,High
20557286,White,Male,31,Fort Dodge Correctional Facility,Prison,2017,2020,02/06/2015,10/12/2016,20,Parole Granted,D Felony,Property,Arson,false,,,,,,,,High
20557592,White,Male,26,Newton Correctional Facility,Prison,2017,2020,09/30/2011,02/13/2017,64,Released to Special Sentence,C Felony,Violent,Sex,false,,,,,,,,
623288,White,Male,57,Newton Correctional Facility,Prison,2016,2019,07/30/2015,03/29/2016,7,Parole Granted,D Felony,Public Order,OWI,false,,,,,,,,Low
3335093,Black,Male,39,Clarinda Correctional Facility,Prison,2019,2022,06/29/2018,02/19/2019,7,Parole Granted,D Felony,Drug,Drug Possession,false,,,,,,,,Low
2413667,White,Male,56,Newton Correctional Facility,Prison,2016,2019,08/12/2002,07/02/2015,154,Parole Granted,C Felony,Violent,Sex,false,,,,,,,,
184178,White,Female,48,Iowa Correctional Institution for Women,Prison,2018,2021,06/17/2016,07/07/2017,12,Parole Granted,D Felony,Drug,Drug Possession,false,,,,,,,,High
185495,White,Male,47,Mount Pleasant Correctional Facility,Prison,2018,2021,01/24/2017,07/12/2017,5,Discharged - Expiration of Sentence,D Felony,Property,Burglary,false,,,,,,,,High
18361127,White,Male,51,Iowa Medical & Classification Center,Prison,2018,2021,11/01/2017,11/29/2017,0,Discharged - Expiration of Sentence,C Felony,Drug,Trafficking,false,,,,,,,,Low
2413877,White,Male,52,Iowa State Penitentiary,Prison,2016,2019,04/16/2015,11/25/2015,7,Parole Granted,D Felony,Public Order,OWI,false,,,,,,,,Low
243830,Black,Male,52,North Central Correctional Facility,Work Release,2018,2021,11/14/2017,02/09/2018,2,Parole Granted,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Moderate
2410010,Black,Male,47,Anamosa State Penitentiary,Prison,2018,2021,03/07/2017,10/07/2017,7,Discharged - Expiration of Sentence,D Felony,Public Order,Flight/Escape,false,,,,,,,,High
2425934,White,Male,57,North Central Correctional Facility,Work Release,2018,2021,06/12/2017,08/17/2017,2,Parole Granted,B Felony,Drug,Trafficking,false,,,,,,,,Low
624566,Black,Male,56,North Central Correctional Facility,Prison,2019,2022,05/25/2017,02/22/2019,20,Parole Granted,B Felony,Drug,Trafficking,false,,,,,,,,High
2421218,White,Male,45,Clarinda Correctional Facility,Prison,2016,2019,01/12/2016,04/27/2016,3,Parole Granted,D Felony,Drug,Trafficking,false,,,,,,,,Low
18398177,White,Female,32,Iowa Correctional Institution for Women,Prison,2018,2021,07/06/2017,12/08/2017,5,Parole Granted,C Felony,Drug,Trafficking,false,,,,,,,,Low
18436610,White,Male,22,Newton Correctional Facility,Work Release,2018,2021,01/09/2018,03/29/2018,2,Parole Granted,D Felony,Drug,Trafficking,false,,,,,,,,Low
2425967,White,Male,35,Newton Correctional Facility,Prison,2018,2021,10/19/2016,09/15/2017,10,Discharged - Expiration of Sentence,Aggravated Misdemeanor,Public Order,Other Public Order,false,,,,,,,,Low
